model,rank,beta,lambda_l2,lambda_keyphrase,lambda_latent,lambda_rating,topK,learning_rate,epoch,corruption,optimizer,MAP@10,MAP@15,MAP@20,MAP@5,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5
CE-VAE,200,0.0001,0.0001,0.01,1,1,,0.0005,600,0.2,Adam,"[0.6633, 0.007]","[0.6503, 0.0065]","[0.6378, 0.0062]","[0.6762, 0.0079]","[0.4279, 0.0022]","[0.6356, 0.0063]","[0.6143, 0.0057]","[0.5915, 0.0056]","[0.6844, 0.0074]","[0.3351, 0.0021]","[0.1936, 0.0015]","[0.2837, 0.002]","[0.3605, 0.0022]","[0.1037, 0.0011]"
CE-VAE,200,0.0001,0.0001,0.01,1,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.1,0.0001,1,,0.0001,600,0.2,Adam,"[0.7738, 0.005]","[0.765, 0.0045]","[0.7559, 0.0043]","[0.7819, 0.0061]","[0.5512, 0.0032]","[0.7592, 0.0045]","[0.7397, 0.0044]","[0.7206, 0.0046]","[0.7739, 0.0053]","[0.4458, 0.0033]","[0.2654, 0.0031]","[0.3762, 0.0036]","[0.4768, 0.0039]","[0.1391, 0.002]"
CE-VAE,200,0.0001,0.0001,0.1,0.0001,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.1,0.0001,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.1,0.001,1,,0.0001,600,0.2,Adam,"[0.7683, 0.005]","[0.76, 0.0046]","[0.7514, 0.0044]","[0.7758, 0.0062]","[0.5485, 0.0032]","[0.7546, 0.0045]","[0.7366, 0.0045]","[0.7171, 0.0046]","[0.7683, 0.0054]","[0.444, 0.0033]","[0.2636, 0.003]","[0.3752, 0.0037]","[0.4748, 0.0039]","[0.1383, 0.002]"
CE-VAE,200,0.0001,0.0001,0.1,0.001,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.1,0.001,1,,0.001,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
CE-VAE,200,0.0001,0.0001,0.1,0.01,1,,0.0001,600,0.2,Adam,"[0.7669, 0.0051]","[0.7607, 0.0047]","[0.7534, 0.0045]","[0.7698, 0.0063]","[0.5489, 0.0031]","[0.7583, 0.0046]","[0.7419, 0.0046]","[0.7229, 0.0047]","[0.7688, 0.0055]","[0.4457, 0.0032]","[0.2633, 0.003]","[0.3758, 0.0036]","[0.4767, 0.0039]","[0.1374, 0.0019]"
CE-VAE,200,0.0001,0.0001,0.1,0.01,1,,0.0005,600,0.2,Adam,"[0.4093, 0.0068]","[0.4372, 0.0062]","[0.4459, 0.0059]","[0.3127, 0.0078]","[0.3016, 0.002]","[0.5198, 0.0057]","[0.4922, 0.0054]","[0.4726, 0.0053]","[0.3666, 0.0073]","[0.2584, 0.0017]","[0.1559, 0.0013]","[0.2196, 0.0015]","[0.2788, 0.0017]","[0.0464, 0.0008]"
